,右髋关节,,右膝关节,,左髋关节,,左膝关节
4.5166,4.5166,7.8125,7.8125,-1.9531,-1.9531,-6.0425,-6.0425
20.1416,11.0474,44.3726,24.6582,-47.1802,-28.1982,-49.4995,-27.0996
43.7622,20.1416,61.1572,44.3726,-76.7212,-47.1802,-65.8569,-49.4995
69.2139,30.3345,63.9038,54.4434,-83.9844,-63.8428,-85.3271,-60.6079
104.248,43.7622,147.1558,61.1572,-82.1533,-76.7212,-65.5518,-65.8569
130.8594,55.1147,102.9663,66.1621,-24.292,-81.604,-49.3164,-75.8667
117.7979,69.2139,108.0933,63.9038,-46.3867,-83.9844,-14.0991,-85.3271
81.8481,86.0596,70.4346,102.356,-41.0767,-86.3647,-27.0996,-83.9233
44.7998,104.248,58.3496,147.1558,-38.147,-82.1533,-39.1846,-65.5518
46.3257,123.4741,44.6167,115.5396,-39.4897,-71.4722,-31.3721,-48.3398
-1.9531,130.8594,17.2119,102.9663,-74.0356,-24.292,-30.4565,-49.3164
-47.1802,126.9531,-6.0425,104.7363,-54.1382,-25.5737,-54.7485,-29.541
-76.7212,117.7979,-49.4995,108.0933,-32.1045,-46.3867,-35.8887,-14.0991
-83.9844,91.9189,-65.8569,96.8628,-32.0435,-39.4287,-13.855,-22.2168
-82.1533,81.8481,-85.3271,70.4346,-27.9541,-41.0767,7.8125,-27.0996
-24.292,64.27,-65.5518,66.8335,4.5166,-46.6919,44.3726,-35.3394
-46.3867,44.7998,-49.3164,58.3496,20.1416,-38.147,61.1572,-39.1846
-41.0767,43.2739,-14.0991,54.1382,43.7622,-27.9541,63.9038,-38.269
-38.147,46.3257,-27.0996,44.6167,69.2139,-39.4897,147.1558,-31.3721
-39.4897,29.1138,-39.1846,29.6631,104.248,-60.791,102.9663,-28.8086
-74.0356,-1.9531,-31.3721,17.2119,130.8594,-74.0356,108.0933,-30.4565
-54.1382,-28.1982,-30.4565,9.7656,117.7979,-71.2891,70.4346,-44.0063
-32.1045,-47.1802,-54.7485,-6.0425,81.8481,-54.1382,58.3496,-54.7485
-32.0435,-63.8428,-35.8887,-27.0996,44.7998,-39.4287,44.6167,-47.9126
-27.9541,-76.7212,-13.855,-49.4995,46.3257,-32.1045,17.2119,-35.8887
4.5166,-81.604,7.8125,-60.6079,-1.9531,-31.7383,-6.0425,-21.6675
20.1416,-83.9844,44.3726,-65.8569,-47.1802,-32.0435,-49.4995,-13.855
43.7622,-86.3647,61.1572,-75.8667,-76.7212,-30.0903,-65.8569,-6.2866
69.2139,-82.1533,63.9038,-85.3271,-83.9844,-27.9541,-85.3271,7.8125
104.248,-71.4722,147.1558,-83.9233,-82.1533,-19.4702,-65.5518,24.6582
130.8594,-24.292,102.9663,-65.5518,-24.292,4.5166,-49.3164,44.3726
117.7979,-25.5737,108.0933,-48.3398,-46.3867,11.0474,-14.0991,54.4434
81.8481,-46.3867,70.4346,-49.3164,-41.0767,20.1416,-27.0996,61.1572
44.7998,-39.4287,58.3496,-29.541,-38.147,30.3345,-39.1846,66.1621
46.3257,-41.0767,44.6167,-14.0991,-39.4897,43.7622,-31.3721,63.9038
-1.9531,-46.6919,17.2119,-22.2168,-74.0356,55.1147,-30.4565,102.356
-47.1802,-38.147,-6.0425,-27.0996,-54.1382,69.2139,-54.7485,147.1558
-76.7212,-27.9541,-49.4995,-35.3394,-32.1045,86.0596,-35.8887,115.5396
-83.9844,-39.4897,-65.8569,-39.1846,-32.0435,104.248,-13.855,102.9663
-82.1533,-60.791,-85.3271,-38.269,-27.9541,123.4741,7.8125,104.7363
-24.292,-74.0356,-65.5518,-31.3721,4.5166,130.8594,44.3726,108.0933
-46.3867,-71.2891,-49.3164,-28.8086,20.1416,126.9531,61.1572,96.8628
-41.0767,-54.1382,-14.0991,-30.4565,43.7622,117.7979,63.9038,70.4346
-38.147,-39.4287,-27.0996,-44.0063,69.2139,91.9189,147.1558,66.8335
-39.4897,-32.1045,-39.1846,-54.7485,104.248,81.8481,102.9663,58.3496
-74.0356,-31.7383,-31.3721,-47.9126,130.8594,64.27,108.0933,54.1382
-54.1382,-32.0435,-30.4565,-35.8887,117.7979,44.7998,70.4346,44.6167
-32.1045,-30.0903,-54.7485,-21.6675,81.8481,43.2739,58.3496,29.6631
-32.0435,-27.9541,-35.8887,-13.855,44.7998,46.3257,44.6167,17.2119
-27.9541,-19.4702,-13.855,-6.2866,46.3257,29.1138,17.2119,9.7656
,4.5166,,7.8125,,-1.9531,,-6.0425
,11.0474,,24.6582,,-28.1982,,-27.0996
,20.1416,,44.3726,,-47.1802,,-49.4995
,30.3345,,54.4434,,-63.8428,,-60.6079
,43.7622,,61.1572,,-76.7212,,-65.8569
,55.1147,,66.1621,,-81.604,,-75.8667
,69.2139,,63.9038,,-83.9844,,-85.3271
,86.0596,,102.356,,-86.3647,,-83.9233
,104.248,,147.1558,,-82.1533,,-65.5518
,123.4741,,115.5396,,-71.4722,,-48.3398
,130.8594,,102.9663,,-24.292,,-49.3164
,126.9531,,104.7363,,-25.5737,,-29.541
,117.7979,,108.0933,,-46.3867,,-14.0991
,91.9189,,96.8628,,-39.4287,,-22.2168
,81.8481,,70.4346,,-41.0767,,-27.0996
,64.27,,66.8335,,-46.6919,,-35.3394
,44.7998,,58.3496,,-38.147,,-39.1846
,43.2739,,54.1382,,-27.9541,,-38.269
,46.3257,,44.6167,,-39.4897,,-31.3721
,29.1138,,29.6631,,-60.791,,-28.8086
,-1.9531,,17.2119,,-74.0356,,-30.4565
,-28.1982,,9.7656,,-71.2891,,-44.0063
,-47.1802,,-6.0425,,-54.1382,,-54.7485
,-63.8428,,-27.0996,,-39.4287,,-47.9126
,-76.7212,,-49.4995,,-32.1045,,-35.8887
,-81.604,,-60.6079,,-31.7383,,-21.6675
,-83.9844,,-65.8569,,-32.0435,,-13.855
,-86.3647,,-75.8667,,-30.0903,,-6.2866
,-82.1533,,-85.3271,,-27.9541,,7.8125
,-71.4722,,-83.9233,,-19.4702,,24.6582
,-24.292,,-65.5518,,4.5166,,44.3726
,-25.5737,,-48.3398,,11.0474,,54.4434
,-46.3867,,-49.3164,,20.1416,,61.1572
,-39.4287,,-29.541,,30.3345,,66.1621
,-41.0767,,-14.0991,,43.7622,,63.9038
,-46.6919,,-22.2168,,55.1147,,102.356
,-38.147,,-27.0996,,69.2139,,147.1558
,-27.9541,,-35.3394,,86.0596,,115.5396
,-39.4897,,-39.1846,,104.248,,102.9663
,-60.791,,-38.269,,123.4741,,104.7363
,-74.0356,,-31.3721,,130.8594,,108.0933
,-71.2891,,-28.8086,,126.9531,,96.8628
,-54.1382,,-30.4565,,117.7979,,70.4346
,-39.4287,,-44.0063,,91.9189,,66.8335
,-32.1045,,-54.7485,,81.8481,,58.3496
,-31.7383,,-47.9126,,64.27,,54.1382
,-32.0435,,-35.8887,,44.7998,,44.6167
,-30.0903,,-21.6675,,43.2739,,29.6631
,-27.9541,,-13.855,,46.3257,,17.2119
,-19.4702,,-6.2866,,29.1138,,9.7656
,4.5166,,7.8125,,-1.9531,,-6.0425
,11.0474,,24.6582,,-28.1982,,-27.0996
,20.1416,,44.3726,,-47.1802,,-49.4995
,30.3345,,54.4434,,-63.8428,,-60.6079
,43.7622,,61.1572,,-76.7212,,-65.8569
,55.1147,,66.1621,,-81.604,,-75.8667
,69.2139,,63.9038,,-83.9844,,-85.3271
,86.0596,,102.356,,-86.3647,,-83.9233
,104.248,,147.1558,,-82.1533,,-65.5518
,123.4741,,115.5396,,-71.4722,,-48.3398
,130.8594,,102.9663,,-24.292,,-49.3164
,126.9531,,104.7363,,-25.5737,,-29.541
,117.7979,,108.0933,,-46.3867,,-14.0991
,91.9189,,96.8628,,-39.4287,,-22.2168
,81.8481,,70.4346,,-41.0767,,-27.0996
,64.27,,66.8335,,-46.6919,,-35.3394
,44.7998,,58.3496,,-38.147,,-39.1846
,43.2739,,54.1382,,-27.9541,,-38.269
,46.3257,,44.6167,,-39.4897,,-31.3721
,29.1138,,29.6631,,-60.791,,-28.8086
,-1.9531,,17.2119,,-74.0356,,-30.4565
,-28.1982,,9.7656,,-71.2891,,-44.0063
,-47.1802,,-6.0425,,-54.1382,,-54.7485
,-63.8428,,-27.0996,,-39.4287,,-47.9126
,-76.7212,,-49.4995,,-32.1045,,-35.8887
,-81.604,,-60.6079,,-31.7383,,-21.6675
,-83.9844,,-65.8569,,-32.0435,,-13.855
,-86.3647,,-75.8667,,-30.0903,,-6.2866
,-82.1533,,-85.3271,,-27.9541,,7.8125
,-71.4722,,-83.9233,,-19.4702,,24.6582
,-24.292,,-65.5518,,4.5166,,44.3726
,-25.5737,,-48.3398,,11.0474,,54.4434
,-46.3867,,-49.3164,,20.1416,,61.1572
,-39.4287,,-29.541,,30.3345,,66.1621
,-41.0767,,-14.0991,,43.7622,,63.9038
,-46.6919,,-22.2168,,55.1147,,102.356
,-38.147,,-27.0996,,69.2139,,147.1558
,-27.9541,,-35.3394,,86.0596,,115.5396
,-39.4897,,-39.1846,,104.248,,102.9663
,-60.791,,-38.269,,123.4741,,104.7363
,-74.0356,,-31.3721,,130.8594,,108.0933
,-71.2891,,-28.8086,,126.9531,,96.8628
,-54.1382,,-30.4565,,117.7979,,70.4346
,-39.4287,,-44.0063,,91.9189,,66.8335
,-32.1045,,-54.7485,,81.8481,,58.3496
,-31.7383,,-47.9126,,64.27,,54.1382
,-32.0435,,-35.8887,,44.7998,,44.6167
,-30.0903,,-21.6675,,43.2739,,29.6631
,-27.9541,,-13.855,,46.3257,,17.2119
,-19.4702,,-6.2866,,29.1138,,9.7656
